Question,Answer1,Answer2,Answer3,CorrectIndex,
Who proposed a universal language for problem-solving in 1674?,Leibniz,Newton,Pascal,1,
Which mathematician laid the foundations of binary logic in the 19th century?,Leibniz,Boole,Newton,2,
Which problem cannot be solved by the Turing machine?,Hilbert's problem,Basic arithmetic,List searching,1,
What is the purpose of using pseudocode?,Learning an easy-to-use language,Learning the universal programming language,Learning algorithmic thinking,3,
"From which country does the term ""algorithm"" originate?",Persia,Mesopotamia,Scotland,1,
What does constant runtime mean?,The program does not require input data,Independence from data size,The program does not run correctly,2,
What characteristics should a good algorithm have?,Unambiguous & correct,Complex & hard to read,Difficult to understand but short,1,
What calculating tool has been used since 3000 B.C.?,Slide rule,Counting board,Abacus,3,
What step follows the implementation of a program?,Debugging,There is no next step,Testing,3,
What is the role of the Control Unit in a computer?,Management,Analysis,Correction,1,
What values can a bit take?,1 & 2,0 & 1,From 0 to 9,2,
Which system uses two states (0 and 1)?,Binary,Unary,Ternary,1,
What type of variable can only contain TRUE or FALSE?,Double,Char,Boolean,3,
What data type can store a sequence of characters?,String,Digits,Letters,1,
Which logical operator returns TRUE if all conditions are true?,OR,AND,BE,2,
Which notation represents the upper bound of an algorithms complexity?,Big(O),Big(Theta),Big(Alpha),1,
Which notation expresses the lower bound of complexity?,Omega,Theta,Alpha,1,
What is the complexity of a linear traversal of an array?,O(n^2),O(log n),O(n),3,
If T(n) = n^8 + 3n^4 + 4n^2 + 6  what is the complexity?, O(n),O(n^4),O(n^8),3,
What does O(1) mean?,Runtime 0,Constant runtime, Infinite runtime, 2
What hardware architecture is used by most modern smartphones?,x86,RISC-V,ARM,3,
If A is a 3x3 matrix with det(A)=5  what is det(3A)?,27/5,1/5,1/15,1